"";"SA2_NAME16";"SA3_CODE16";"x"
"348";"Calga - Kulnura";"10201";34,2427318849081
"349";"California Gully - Eaglehawk";"20201";53,9475689880268
"350";"Calista";"50703";49,073157232184
"351";"Callala Bay - Currarong";"11401";33,5270864616053
"352";"Callemondah";"30805";46,6021283264317
"353";"Caloundra - Kings Beach";"31602";54,2678362404621
"354";"Caloundra - West";"31602";40,0406644401371
"355";"Caloundra Hinterland";"31606";58,9084797429229
"356";"Calwell";"80107";57,3510870568065
"357";"Camberwell";"20701";49,782058550732
"358";"Cambooya - Wyreema";"31701";44,8643809480297
"359";"Cambridge";"60102";39,9010768924598
"360";"Cambridge Park";"12403";58,0481749032974
"361";"Camden - Ellis Lane";"12301";30,2517740218392
"362";"Camillo - Champion Lakes";"50601";47,2023725586208
"363";"Camira - Gailes";"31004";30,3681251243376
"364";"Camp Hill";"30301";48,21447584369
"365";"Campbell";"80105";28,0500350204274
"366";"Campbellfield - Coolaroo";"21005";49,4099171823838
"367";"Campbelltown - Woodbine";"12302";56,2936197083568
"368";"Camperdown";"21703";45,2180942442358
"369";"Canberra Airport";"80103";31,42228044548
"370";"Canberra East";"80103";45,83
"371";"Canley Vale - Canley Heights";"12702";39,1747866203539
"372";"Canning Vale - East";"50604";59,2165363927044
"373";"Canning Vale - West";"50603";40,7967006158174
"374";"Canning Vale Commercial";"50603";51,8616702588928
"375";"Cannington - Queens Park";"50603";39,697954834399
"376";"Cannon Hill";"30301";59,3590198817432
"377";"Canterbury (North) - Ashbury";"12003";36,0980365342679
"378";"Canterbury (South) - Campsie";"11902";29,000379835938
"379";"Capalaba";"30101";48,2987441081145
"380";"Cape Conway";"31203";33,9533292344082
"381";"Cape York";"31501";36,1611745774341
"382";"Capel";"50102";35,5497599641644
"383";"Carabooda - Pinjar";"50503";49,4681498048662
"384";"Carina";"30301";51,6369224877205
"385";"Carina Heights";"30301";28,8847588350155
"386";"Carindale";"30301";43,4464732642853
"387";"Caringbah";"12801";58,6479598940276
"388";"Caringbah South";"12801";37,6837237716718
"389";"Carlingford";"12502";34,5232727529425
"390";"Carlton";"20604";54,8360086114519
"391";"Carlton North - Princes Hill";"20607";50,2174350087564
"392";"Carnarvon";"51102";33,5332014496177
"393";"Carnegie";"20802";53,0057122169361
"394";"Carole Park";"31004";52,4681334399154
"395";"Caroline Springs";"21304";31,0625055553045
"396";"Carpentaria";"31502";59,4431775981989
"397";"Carramar";"50503";50,6559433319017
"398";"Carrara";"30906";36,6103801217251
"399";"Carrum - Patterson Lakes";"20803";45,06905130523
"400";"Carrum Downs";"21401";49,738172253057
"401";"Carseldine";"30201";29,4934218493323
"402";"Casey";"80104";34,3027994149348
"403";"Cashmere";"31401";47,8528844352862
"404";"Casino";"11202";40,0396063294293
"405";"Casino Region";"11202";52,6889145138602
"406";"Castle Hill - Central";"11501";37,0664882397683
"407";"Castle Hill - East";"11501";38,4574916077753
"408";"Castle Hill - North";"11501";55,8860216396533
"409";"Castle Hill - South";"11501";36,7916791517904
"410";"Castle Hill - West";"11501";27,0895137903212
"411";"Castlemaine";"20202";59,5691899743248
"412";"Castlemaine Region";"20202";39,2414122756714
"413";"Castlereagh - Cranebrook";"12403";56,2014946388783
"414";"Casuarina - Wandi";"50703";28,1004479738655
"415";"Casula";"12703";28,8644925590244
"416";"Caulfield - North";"20802";59,3550179542348
"417";"Caulfield - South";"20802";40,5355869134053
"418";"Cecil Hills";"12701";44,1935213502299
"419";"Ceduna";"40601";52,4947110450492
"420";"Centennial Park";"11801";36,2063794350492
"421";"Central Highlands";"60301";55,5368246963808
"422";"Central Highlands - East";"30801";50,6903464671072
"423";"Central Highlands - West";"30801";44,2457079009023
"424";"Cessnock";"10601";32,4241475791454
"425";"Cessnock Region";"10601";43,8296112970255
"426";"Chambers Flat - Logan Reserve";"31103";44,8174581452944
"427";"Chapel Hill";"30402";41,9622209246266
"428";"Chapman";"80108";50,9285184791837
"429";"Charles";"70201";45,0328515733247
"430";"Charles Darwin";"70102";57,2922008816459
"431";"Charlestown - Dudley";"11101";32,1406152495049
"432";"Charleville";"31503";58,2606620576095
"433";"Charnwood";"80101";57,6140567951273
"434";"Charters Towers";"31801";30,1254397145383
"435";"Chatswood (East) - Artarmon";"12101";41,2644771229944
"436";"Chatswood (West) - Lane Cove North";"12101";53,8379578583378
"437";"Chelmer - Graceville";"30403";35,0160287936684
"438";"Chelsea - Bonbeach";"20803";37,8160916034128
"439";"Chelsea Heights";"20803";30,625520453631
"440";"Cheltenham - Highett (East)";"20803";49,651794361265
"441";"Cheltenham - Highett (West)";"20801";28,3919448605435
"442";"Chermside";"30202";27,6709456232626
"443";"Chermside West";"30202";41,7474588692785
"444";"Cherrybrook";"11501";40,8754703724448
"445";"Chester Hill - Sefton";"12503";56,3179674816771
"446";"Chidlow";"50402";44,949321951482
"447";"Chifley";"80109";39,0263439407864
"448";"Chiltern - Indigo Valley";"20403";27,5326238332167
"449";"Chinchilla";"30701";35,9887996484946
"450";"Chipping Norton - Moorebank";"12703";42,1292542844095
"451";"Chirnside Park";"21105";39,0009935924314
"452";"Chisholm";"80107";33,0230124814603
"453";"Chittaway Bay - Tumbi Umbi";"10202";45,5683617696428
"454";"Chittering";"50902";48,0217498329625
"455";"Christie Downs";"40304";58,4290569020077
"456";"Christies Beach";"40304";56,445883341074
"457";"Christmas Island";"90101";35,8459595895664
"458";"Chullora";"11901";29,2408100053647
"459";"Churchill";"20504";45,6878371461007
"460";"Churchill - Yamanto";"31003";50,6551348678561
"461";"City Beach";"50301";51,827984310005
"462";"Civic";"80105";39,7932221970794
"463";"Clare";"40502";50,1233724203045
"464";"Claremont (Tas.)";"60103";53,1285781632345
"465";"Claremont (WA)";"50301";58,5995797044606
"466";"Clarendon";"40304";52,2792104442209
"467";"Clarinda - Oakleigh South";"21204";53,3507046939858
"468";"Clarkson";"50503";50,4353943394735
"469";"Clayfield";"30503";28,8292310754803
"470";"Claymore - Eagle Vale - Raby";"12302";57,2333439983564
"471";"Clayton";"21205";29,0112898181384
"472";"Clayton South";"21204";28,0995910813153
"473";"Clear Island Waters";"30908";29,7080366968547
"474";"Clermont";"31201";34,2952152576798
"475";"Cleveland";"30102";40,3221850050413
"476";"Clifton - Greenmount";"30703";48,3376970369572
"477";"Clifton Beach - Kewarra Beach";"30601";30,8611182723979
"478";"Clifton Springs";"20303";27,9410342538206
"479";"Clinton - New Auckland";"30805";39,9396487329316
"480";"Clontarf";"31305";51,1094494688358
"481";"Cobar";"10501";50,6736659201895
"482";"Cobbitty - Leppington";"12701";41,1694926844229
"483";"Cobram";"21602";39,3857385125666
"484";"Coburg";"20601";31,2056173406452
"485";"Coburg North";"21003";44,5438856539906
"486";"Coconut Grove";"70102";34,2003345013795
"487";"Cocos (Keeling) Islands";"90102";29,9764234275372
"488";"Coffs Harbour - North";"10402";62,35
"489";"Coffs Harbour - South";"10402";59,0709688892171
"490";"Colac";"21703";29,0506084630616
"491";"Colac Region";"21703";43,5641863867184
"492";"College Grove - Carey Park";"50102";52,8033455447536
"493";"Collie";"50102";28,6207408584652
"494";"Collingwood";"20607";53,2076645631908
"495";"Collingwood Park - Redbank";"31004";39,1052586672105
"496";"Collinsville";"31201";49,1097136827853
"497";"Colonel Light Gardens";"40303";35,4006716970282
"498";"Colyton - Oxley Park";"12405";40,4338049181337
"499";"Como";"50607";39,0972373996387
"500";"Concord - Mortlake - Cabarita";"12001";48,2423517636072
"501";"Concord West - North Strathfield";"12001";39,2033770071611
"502";"Condell Park";"11901";27,8777115499369
"503";"Conder";"80107";47,5150806208787
"504";"Condobolin";"10302";52,0172828392178
"505";"Condon - Rasmussen";"31802";51,204584960476
"506";"Coober Pedy";"40602";48,096119483616
"507";"Coogee";"50701";56,4207585771474
"508";"Coogee - Clovelly";"11802";45,5805269527424
"509";"Cook";"80101";46,9765558674061
"510";"Coolangatta";"30902";42,3134973103009
"511";"Coolbellup";"50701";35,9294446294426
"512";"Cooloola";"31903";55,1502619229116
"513";"Cooloongup";"50705";30,4523414378977
"514";"Coolum Beach";"31603";58,3639201154728
"515";"Cooma";"10103";36,784094405563
"516";"Cooma Region";"10103";41,9962677237295
"517";"Coombabah";"30903";52,1938385047549
"518";"Coombs";"80110";53,7203794973154
"519";"Coomera";"30907";30,0132924377264
"520";"Coonabarabran";"10503";31,7780874519318
"521";"Coonamble";"10501";49,3873170284162
"522";"Coopers Plains";"30304";32,9732434772184
"523";"Coorparoo";"30302";42,1276100651077
"524";"Cootamundra";"11303";57,1729108081825
"525";"Coramba - Nana Glen - Bucca";"10402";53,3811078122875
"526";"Corangamite - North";"21703";55,6834100390154
"527";"Corangamite - South";"21703";36,5841477169807
"528";"Corinda";"30403";49,5057564407103
"529";"Corio - Norlane";"20302";31,1624655553382
"530";"Cornubia - Carbrook";"31105";40,3565356273313
"531";"Coromandel Valley";"40304";38,6153212503025
"532";"Corowa";"10903";59,6921862571342
"533";"Corowa Region";"10903";34,4840566212822
"534";"Corrimal - Tarrawanna - Bellambi";"10704";40,6098300377966
"535";"Cottesloe";"50301";42,8415395193124
"536";"Cowra";"10302";58,2911329558313
"537";"Cowra Region";"10302";33,7471091566974
"538";"Crace";"80104";49,1408634877767
"539";"Craigie - Beldon";"50501";48,0213614832634
"540";"Craigieburn - Central";"21005";52,2676258697562
"541";"Craigieburn - North";"21005";42,5378045437074
"542";"Craigieburn - South";"21005";53,5168594147488
"543";"Craigieburn - West";"21005";28,9548188694337
"544";"Craigmore - Blakeview";"40202";46,4509232714944
"545";"Craignish - Dundowran Beach";"31904";36,2867685403369
"546";"Cranbourne";"21203";32,108654366509
"547";"Cranbourne East";"21203";31,7025932990545
"548";"Cranbourne North";"21203";32,2034531020921
"549";"Cranbourne South";"21203";50,2883444828991
"550";"Cranbourne West";"21203";32,1801864417875
"551";"Cranbrook";"31802";38,4193093816369
"552";"Cremorne - Cammeray";"12104";57,1741938453525
"553";"Crestmead";"31103";42,0223857821952
"554";"Creswick - Clunes";"20102";34,2818701767505
"555";"Cromer";"12203";35,5486335564829
"556";"Cronulla - Kurnell - Bundeena";"12801";36,3580358578889
"557";"Crows Nest - Rosalie";"30702";47,6093890127136
"558";"Crows Nest - Waverton";"12104";53,1290681327396
"559";"Croydon - East";"21103";35,1261383985151
"560";"Croydon - Etheridge";"31501";28,8013209747069
"561";"Croydon - West";"21103";48,7612339576237
"562";"Croydon Hills - Warranwood";"21103";50,3412811078997
"563";"Croydon Park - Enfield";"12003";44,5540891193334
"564";"Croydon South";"21103";40,0091539550999
